no_of_offers,avg_base_rate,avg_offered_premium,avg_sold_premium,avg_price_increase,conversion_rate,conversion_rate_pct,avg_realised_uplift,total_realised_uplift
1115,48.97366816143498,48.97366816143498,49.57292307692308,0.0,0.2331838565022421,23.32,0.0,0.0
3923,49.20095845016569,55.212602600050985,55.75069444444444,0.1243221982115727,0.2202396125414223,22.02,6.417916666666666,5545.079999999999
3827,49.014235693754905,51.97665011758557,51.48276816608996,0.059685640121505,0.2265482100862294,22.65,2.923598615916954,2534.7599999999998
